Iteration: 1, Depth: 0, Hn: 13, Fn: 13, Qsize: 20, New Children: 20
Iteration: 2, Depth: 1, Hn: 8, Fn: 9, Qsize: 31, New Children: 12  
Iteration: 3, Depth: 2, Hn: 6, Fn: 8, Qsize: 41, New Children: 11  
Iteration: 4, Depth: 2, Hn: 8, Fn: 10, Qsize: 51, New Children: 11   
Iteration: 5, Depth: 1, Hn: 10, Fn: 11, Qsize: 66, New Children: 16  
Iteration: 6, Depth: 2, Hn: 6, Fn: 8, Qsize: 76, New Children: 11    
Iteration: 7, Depth: 3, Hn: 5, Fn: 8, Qsize: 87, New Children: 12    
Iteration: 8, Depth: 2, Hn: 7, Fn: 9, Qsize: 97, New Children: 11    
Iteration: 9, Depth: 2, Hn: 9, Fn: 11, Qsize: 108, New Children: 12  
Iteration: 10, Depth: 3, Hn: 8, Fn: 11, Qsize: 115, New Children: 8  
Iteration: 11, Depth: 3, Hn: 8, Fn: 11, Qsize: 126, New Children: 12 
Iteration: 12, Depth: 4, Hn: 6, Fn: 10, Qsize: 137, New Children: 12 
Iteration: 13, Depth: 2, Hn: 9, Fn: 11, Qsize: 148, New Children: 12 
Iteration: 14, Depth: 1, Hn: 10, Fn: 11, Qsize: 155, New Children: 8 
Iteration: 15, Depth: 1, Hn: 10, Fn: 11, Qsize: 166, New Children: 12
Iteration: 16, Depth: 2, Hn: 5, Fn: 7, Qsize: 176, New Children: 11
Iteration: 17, Depth: 2, Hn: 7, Fn: 9, Qsize: 187, New Children: 12
Iteration: 18, Depth: 2, Hn: 8, Fn: 10, Qsize: 196, New Children: 10
Iteration: 19, Depth: 3, Hn: 7, Fn: 10, Qsize: 203, New Children: 8
Iteration: 20, Depth: 3, Hn: 8, Fn: 11, Qsize: 214, New Children: 12
Iteration: 21, Depth: 3, Hn: 8, Fn: 11, Qsize: 227, New Children: 14
Iteration: 22, Depth: 3, Hn: 8, Fn: 11, Qsize: 237, New Children: 11
Iteration: 23, Depth: 4, Hn: 7, Fn: 11, Qsize: 248, New Children: 12
Iteration: 24, Depth: 3, Hn: 8, Fn: 11, Qsize: 256, New Children: 9
Iteration: 25, Depth: 2, Hn: 10, Fn: 12, Qsize: 270, New Children: 15
Iteration: 26, Depth: 4, Hn: 8, Fn: 12, Qsize: 280, New Children: 11
Iteration: 27, Depth: 4, Hn: 8, Fn: 12, Qsize: 291, New Children: 12
Iteration: 28, Depth: 2, Hn: 10, Fn: 12, Qsize: 304, New Children: 14
Iteration: 29, Depth: 3, Hn: 4, Fn: 7, Qsize: 314, New Children: 11
Iteration: 30, Depth: 3, Hn: 7, Fn: 10, Qsize: 323, New Children: 10
Iteration: 31, Depth: 3, Hn: 8, Fn: 11, Qsize: 338, New Children: 16
Iteration: 32, Depth: 4, Hn: 6, Fn: 10, Qsize: 349, New Children: 12
Iteration: 33, Depth: 4, Hn: 7, Fn: 11, Qsize: 358, New Children: 10
Iteration: 34, Depth: 4, Hn: 7, Fn: 11, Qsize: 368, New Children: 11
Iteration: 35, Depth: 4, Hn: 7, Fn: 11, Qsize: 379, New Children: 12
Iteration: 36, Depth: 4, Hn: 7, Fn: 11, Qsize: 390, New Children: 12
Iteration: 37, Depth: 4, Hn: 7, Fn: 11, Qsize: 402, New Children: 13
Iteration: 38, Depth: 5, Hn: 6, Fn: 11, Qsize: 413, New Children: 12
Iteration: 39, Depth: 3, Hn: 9, Fn: 12, Qsize: 424, New Children: 12
Iteration: 40, Depth: 1, Hn: 11, Fn: 12, Qsize: 434, New Children: 11
Iteration: 41, Depth: 2, Hn: 9, Fn: 11, Qsize: 449, New Children: 16
Iteration: 42, Depth: 3, Hn: 7, Fn: 10, Qsize: 459, New Children: 11
Iteration: 43, Depth: 3, Hn: 8, Fn: 11, Qsize: 470, New Children: 12
Iteration: 44, Depth: 3, Hn: 9, Fn: 12, Qsize: 477, New Children: 8
Iteration: 45, Depth: 4, Hn: 7, Fn: 11, Qsize: 488, New Children: 12
Iteration: 46, Depth: 4, Hn: 7, Fn: 11, Qsize: 495, New Children: 8
Iteration: 47, Depth: 3, Hn: 9, Fn: 12, Qsize: 506, New Children: 12
Iteration: 48, Depth: 3, Hn: 9, Fn: 12, Qsize: 513, New Children: 8
Iteration: 49, Depth: 5, Hn: 7, Fn: 12, Qsize: 520, New Children: 8
Iteration: 50, Depth: 3, Hn: 9, Fn: 12, Qsize: 534, New Children: 15
Iteration: 51, Depth: 4, Hn: 8, Fn: 12, Qsize: 545, New Children: 12
Iteration: 52, Depth: 5, Hn: 7, Fn: 12, Qsize: 556, New Children: 12
Iteration: 53, Depth: 4, Hn: 8, Fn: 12, Qsize: 571, New Children: 16
Iteration: 54, Depth: 2, Hn: 10, Fn: 12, Qsize: 577, New Children: 7
Iteration: 55, Depth: 3, Hn: 7, Fn: 10, Qsize: 588, New Children: 12
Iteration: 56, Depth: 3, Hn: 8, Fn: 11, Qsize: 595, New Children: 8
Iteration: 57, Depth: 4, Hn: 7, Fn: 11, Qsize: 606, New Children: 12
